lat_wrf,lon_wrf,temperatura,viento,lluvia,humedad,nubosidad
33.59655,-4.6497803,29.1,16.6,0.0,15.4,0.0
33.59719,-4.5950317,32.1,17.1,0.0,14.4,0.0
33.597797,-4.540283,33.0,12.7,0.0,15.6,0.0
33.59839,-4.4855347,33.5,10.9,0.0,16.0,0.0
33.598923,-4.430786,32.1,12.8,0.0,16.2,0.0
33.599438,-4.3760376,29.1,14.1,0.0,17.3,0.0
33.599926,-4.321289,26.8,12.7,0.0,18.3,0.0
33.600376,-4.2665405,26.2,12.9,0.0,18.4,0.0
33.60079,-4.211792,26.4,11.9,0.0,17.9,0.0
33.601192,-4.1570435,25.2,9.9,0.0,18.9,0.0
33.601543,-4.102295,24.0,8.9,0.0,19.6,0.0
33.60187,-4.0475464,25.7,7.5,0.0,17.6,0.0
33.60217,-3.9927979,27.8,6.4,0.0,15.8,0.0
33.60243,-3.9380493,26.1,4.5,0.0,17.1,0.0
33.602665,-3.8832703,23.3,3.7,0.0,20.2,0.0
33.602863,-3.8285217,22.0,3.6,0.0,21.5,0.0
33.60304,-3.7737732,26.4,5.7,0.0,16.8,0.0
33.603176,-3.7190247,34.2,8.2,0.0,11.0,0.0
33.603287,-3.6642761,35.9,7.0,0.0,10.8,0.0
33.603374,-3.609497,36.5,4.5,0.0,10.1,0.0
33.60342,-3.5547485,36.5,5.9,0.0,9.4,0.0
33.60343,-3.5,36.6,8.1,0.0,8.5,0.0
33.60342,-3.4452515,36.6,9.1,0.0,8.1,0.0
33.603374,-3.390503,36.2,9.1,0.0,7.8,0.0
33.603287,-3.3357239,35.6,9.7,0.0,7.5,0.0
33.603176,-3.2809753,35.2,9.7,0.0,7.3,0.0
33.60304,-3.2262268,34.4,8.7,0.0,7.2,0.0
33.602863,-3.1714783,33.5,6.2,0.0,7.2,0.0
33.602665,-3.1167297,33.2,3.8,0.0,7.0,0.0
33.60243,-3.0619507,33.2,3.8,0.0,6.8,0.0
33.60217,-3.0072021,33.7,5.8,0.0,6.5,0.0
33.60187,-2.9524536,33.8,7.1,0.0,6.4,0.0
33.601543,-2.897705,33.9,7.7,0.0,6.5,0.0
33.601192,-2.8429565,34.3,7.9,0.0,6.5,0.0
33.60079,-2.788208,34.6,8.0,0.0,6.5,0.0
33.600376,-2.7334595,34.7,7.9,0.0,6.6,0.0
33.599926,-2.678711,34.9,7.8,0.0,6.6,0.0
33.599438,-2.6239624,35.0,7.3,0.0,6.6,0.0
33.598923,-2.5692139,35.2,6.7,0.0,6.7,0.0
33.59839,-2.5144653,35.2,6.3,0.0,6.7,0.0
33.597797,-2.4597168,35.3,6.0,0.0,6.8,0.0
33.59719,-2.4049683,35.4,5.6,0.0,6.8,0.0
33.59655,-2.3502197,35.6,5.4,0.0,6.7,0.0
33.595882,-2.2954712,35.7,5.4,0.0,6.7,0.0
33.59519,-2.2407227,35.7,5.3,0.0,6.7,0.0
33.594448,-2.1860046,35.6,5.6,0.0,6.7,0.0
33.593693,-2.131256,35.5,6.0,0.0,6.7,0.0
33.592888,-2.0765076,35.7,6.7,0.0,6.6,0.0
33.59207,-2.0217896,35.8,7.1,0.0,6.6,0.0
33.59121,-1.967041,35.9,7.6,0.0,6.5,0.0
33.590324,-1.9122925,35.9,7.9,0.0,6.5,0.0
33.589397,-1.8575745,35.8,8.1,0.0,6.5,0.0
33.588455,-1.8028259,35.9,8.5,0.0,6.4,0.0
33.58746,-1.7481079,36.1,8.8,0.0,6.4,0.0
33.586445,-1.6933899,36.1,8.8,0.0,6.3,0.0
33.58541,-1.6386414,36.2,8.9,0.0,6.3,0.0
33.584343,-1.5839233,36.2,9.1,0.0,6.3,0.0
33.583237,-1.5292053,36.2,9.2,0.0,6.3,0.0
33.582092,-1.4744873,36.1,9.2,0.0,6.4,0.0
33.58092,-1.4197693,36.0,8.7,0.0,6.6,0.0
33.579712,-1.3650513,35.7,8.5,0.0,6.9,0.0
33.578495,-1.3103333,35.6,8.0,0.0,7.0,0.0
33.57723,-1.2556152,35.7,7.6,0.0,7.1,0.0
33.575928,-1.2008972,35.6,7.2,0.0,7.2,0.0
33.574608,-1.1462097,35.4,6.8,0.0,7.4,0.0
33.573257,-1.0914917,35.4,6.5,0.0,7.5,0.0
33.571865,-1.0367737,35.5,6.1,0.0,7.6,0.0
33.57045,-0.9820862,35.8,6.0,0.0,7.6,0.0
33.56899,-0.9273987,35.7,5.9,0.0,7.7,0.0
33.567516,-0.87268066,35.5,5.8,0.0,7.8,0.0
33.56601,-0.81799316,35.3,5.8,0.0,8.0,0.0
33.564457,-0.76330566,35.4,5.9,0.0,8.0,0.0
33.562893,-0.70861816,35.4,6.1,0.0,8.1,0.0
33.561287,-0.65393066,35.4,6.2,0.0,8.2,0.0
33.559654,-0.59924316,35.3,6.3,0.0,8.3,0.0
33.55798,-0.54455566,35.4,6.5,0.0,8.4,0.0
33.556286,-0.48986816,35.4,6.4,0.0,8.4,0.0
33.55455,-0.43521118,35.1,6.1,0.0,8.7,0.0
33.552795,-0.38052368,33.8,5.7,0.0,9.4,0.0
33.550995,-0.3258667,32.7,5.3,0.0,10.0,0.0
33.54918,-0.2711792,34.1,4.4,0.0,9.4,0.0
33.54732,-0.21652222,35.0,4.6,0.0,9.1,0.0
33.545437,-0.16186523,34.9,4.6,0.0,9.4,0.0
33.54352,-0.10720825,34.8,5.1,0.0,9.5,0.0
33.54158,-0.05255127,34.4,6.1,0.0,9.8,0.0
33.539604,0.002105713,33.9,7.1,0.0,10.1,0.0
33.537598,0.056762695,33.9,8.1,0.0,10.2,0.0
33.535545,0.11138916,34.0,9.0,0.0,10.1,0.0
33.533485,0.16604614,34.1,9.9,0.0,10.0,0.0
33.531372,0.2206726,34.2,10.6,0.0,9.9,0.0
33.529247,0.2753296,34.1,11.4,0.0,9.7,0.0
33.527077,0.32995605,33.8,12.0,0.0,9.7,0.0
33.524883,0.38458252,33.6,12.5,0.0,9.5,0.0
33.52266,0.43920898,33.8,12.9,0.0,9.1,0.0
33.5204,0.49383545,34.0,13.0,0.0,8.9,0.0
33.518105,0.5484314,34.0,13.4,0.0,8.6,0.0
33.51578,0.60305786,34.1,14.1,0.0,8.2,0.0
33.51344,0.6576538,34.0,14.6,0.0,8.0,0.0
33.51106,0.7122803,33.2,15.1,0.0,8.1,0.0
33.508644,0.7668762,32.1,15.3,0.0,8.2,0.0
33.5062,0.82147217,32.2,14.8,0.0,8.0,0.0
33.50373,0.8760681,33.0,13.9,0.0,7.5,0.0
33.501225,0.93066406,33.3,12.8,0.0,7.3,0.0
33.49868,0.9852295,32.9,12.0,0.0,7.3,0.0
33.496117,1.0398254,32.2,11.1,0.0,7.5,0.0
33.493515,1.0943909,32.4,9.8,0.0,7.5,0.0
33.490883,1.1489563,33.0,8.3,0.0,7.3,0.0
33.48823,1.2035522,33.6,6.9,0.0,7.3,0.0
33.48553,1.2581177,33.8,5.9,0.0,7.5,0.0
33.482815,1.3126526,33.6,5.7,0.0,7.8,0.0
33.480057,1.367218,32.7,5.7,0.0,8.6,0.0
33.477276,1.4217834,32.9,7.1,0.0,9.1,0.0
33.47446,1.4763184,33.5,9.0,0.0,9.3,0.0
33.47161,1.5308533,33.2,9.5,0.0,9.7,0.0
33.468735,1.5853882,31.7,8.5,0.0,10.6,0.0
33.465824,1.6399231,31.4,7.9,0.0,10.9,0.0
33.46289,1.694458,32.8,8.1,0.0,10.5,0.0
33.459923,1.7489929,34.0,8.0,0.0,10.0,0.0
33.45692,1.8034973,34.0,7.5,0.0,10.0,0.0
33.453884,1.8580017,34.9,7.3,0.0,9.6,0.0
33.450817,1.9125061,35.2,7.2,0.0,9.2,0.0
33.447727,1.9670105,35.6,7.4,0.0,8.9,0.0
33.444603,2.021515,35.7,6.9,0.0,8.8,0.0
33.44144,2.0760193,36.0,6.8,0.0,8.6,0.0
